,Beers,Brewery,abv,Url
205,Two Rivers Red,Fort Garry Brewing Company Ltd.,5.00,/beer/profile/4043/27756/
206,Dark Chocolate Lager,Sleeman Breweries Ltd.,5.00,/beer/profile/415/198565/
207,Red Brixx Ale,Toxic Brewing Co.,4.50,/beer/profile/28299/274598/
208,Game On Grand Stand Amber Lager,Sprecher Brewing Company,5.40,/beer/profile/144/87743/
209,Old Milwaukee Red,Pabst Brewing Company, ? ,/beer/profile/447/71634/
210,Staropramen Selection,Apatinska Pivara A.D.,4.80,/beer/profile/12226/84178/
211,Rubber Neck Red,Martin House Brewing Company, ? ,/beer/profile/31272/116952/
212,Red Wing Lager,Upright Brewing Company,5.80,/beer/profile/19866/168941/
213,Winter Lager,Steamworks Brewing Company,5.40,/beer/profile/3449/311554/
214,Amber Lager,Stevens Point Brewery,4.90,/beer/profile/786/398356/
215,Rebel Red Lager,Old Forge Brewing Company,5.90,/beer/profile/18724/91711/
216,Frostbite Winter Lager,Ram Restaurant & Brewery,6.00,/beer/profile/5191/64580/
217,Baltika Big Mug Amber (Bolshaya Kruzhka),Baltika Breweries,4.00,/beer/profile/401/63817/
218,Abalus Amber,Wolverine State Brewing Company,5.50,/beer/profile/24808/96587/
219,Red Lager,Redhook Brewlab,5.30,/beer/profile/50687/68946/
220,Red Lager,Cervecería y Maltería Quilmes / Grupo Bemberg,4.70,/beer/profile/1252/47460/
221,Amber Lager,Blue Star Brewing Company, ? ,/beer/profile/2101/28559/
222,Karel IV,DUM Cervejaria,8.40,/beer/profile/36150/137624/
223,Ožujsko Amber,Zagrebaèka Pivovara D.d.,4.80,/beer/profile/1720/211608/
224,Redland Lager,7 Locks Brewing,6.80,/beer/profile/40997/278172/
225,Ice Cap Lager,Arctic Fox Brewing,4.70,/beer/profile/20913/52129/
226,Hampden Lager,Al's of Hampden / Pizza Boy Brewing,5.40,/beer/profile/18316/135084/
227,PA to LA,Indie Brewing Company,4.40,/beer/profile/43070/502713/
228,Boss Amber Lager,Market Garden Brewpub & Brewery,5.00,/beer/profile/25957/115650/
229,Sieben Lager,Bay State Brewing Company,5.20,/beer/profile/32283/106467/
230,Dawn Patrol,Fat Point Brewing,4.60,/beer/profile/36350/240142/
231,Loose Tongue Lager,Crow Hop Brewing Co,6.00,/beer/profile/33620/117016/
232,Sour Cran-Cherry Queen,Last Name Brewing,4.70,/beer/profile/8818/102426/
233,Bug Zapper Super Lager,The Liberal Cup Public House & Brewery,7.30,/beer/profile/578/49699/
234,Irish Red Lager,Big River Grille & Brewing Works, ? ,/beer/profile/2617/41265/
235,High Barbary,Fair Winds Brewing Company,5.40,/beer/profile/39445/394803/
236,Montana Logger,Tamarack Brewing Company,4.20,/beer/profile/16868/93767/
237,Southern Passion,Devils Backbone Brewing Company,4.20,/beer/profile/18539/330069/
238,Wild Monkeys - Malt Biker,Privatbrauerei Eichbaum,5.90,/beer/profile/2431/504923/
239,Harboe Red Beer,Harboes Bryggeri A/S,4.60,/beer/profile/1463/32368/
240,Brahma Extra Red Lager,Companhia Cervejaria Brahma,5.20,/beer/profile/2444/222842/
241,Paulistania Vermelha,Casa Di Conti,6.20,/beer/profile/10924/91016/
242,Redact Amber Lager,Williams Brothers Brewing Company,4.40,/beer/profile/12142/187274/
243,Coney Island Freaktoberfest,Shmaltz Brewing Company,6.66,/beer/profile/262/320402/
244,Luchabrew Mexican Lager,42 North Brewing Company,5.00,/beer/profile/43184/275105/
245,Meggapilz,3 Floyds Brewing Co.,6.50,/beer/profile/26/382628/
246,Red Nitro Ale,Utah Brewers Cooperative,4.00,/beer/profile/28908/252069/
247,Togi Amber Lager,Peabody Heights Brewery,5.50,/beer/profile/44721/272059/
248,Pure Bred,Ramblin' Road Brewery Farm,5.00,/beer/profile/30561/156354/
249,Axe Men Red Ale,Snoqualmie Falls Brewing Company & Taproom,7.50,/beer/profile/859/234451/
250,Princess,Gamla Slottskällans Bryggeri AB,4.50,/beer/profile/625/134872/
251,1031 Zombie Lager,4204 Main Street Brewing Co.,5.50,/beer/profile/36817/306904/
252,Deer Camp,Upper Hand Brewery,4.70,/beer/profile/37433/350688/
253,Kansas City Red Lager,Weston Brewing Company & O'Malley's Pub,5.80,/beer/profile/13602/373224/
254,Megra Nodelo,21st Amendment Brewery,5.70,/beer/profile/735/96261/
255,Lallas Lager,Oceanbryggeriet,4.80,/beer/profile/16420/208654/
256,Red Lager,Brickway Brewery & Distillery,5.50,/beer/profile/33943/227856/
257,Seasonal Brew,Suntory,6.50,/beer/profile/865/54290/
258,Luverne Lager,Take 16 Brewing Company,5.50,/beer/profile/37664/341281/
259,Punchestown Irish Red Lager,West Sixth Brewing Company,5.00,/beer/profile/28764/168483/
260,Grande Rivière,Brasserie Rouget De Lisle,6.00,/beer/profile/9813/18725/
261,Paupack Amber Lager,Wallenpaupack Brewing Company,4.80,/beer/profile/50495/318247/
262,Ski Tan,The Post Brewing Co.,5.40,/beer/profile/34312/311867/
263,The Little Red Pils,Double Mountain Brewery & Taproom,5.00,/beer/profile/16094/51516/
264,Galway Hooker Amber Lager,Galway Hooker Brewery,4.30,/beer/profile/16414/213828/
265,Amber Lager,High Desert Brewing Company,6.20,/beer/profile/3798/48196/
266,Falcon Koppar,Carlsberg Sverige AB,5.00,/beer/profile/10897/107335/
267,Honey Lager,Hell's Gate Brewing Company,5.00,/beer/profile/18369/148811/
268,All Mountain Amber,Soulcraft Brewing,6.00,/beer/profile/47647/359510/
269,Amber Lager,Benny Brewing Co.,5.00,/beer/profile/24757/90988/
270,Xingu Unique Red,Cervejaria Kaiser,4.60,/beer/profile/2480/155267/
271,Low Country Lager,River Dog Brewing Co.,5.00,/beer/profile/30777/111244/
272,Amber Lager Källare No 9,Krönleins Bryggeri AB,5.00,/beer/profile/4089/216461/
273,Gimme A Kiss,Old Flame Brewing Co.,5.60,/beer/profile/35223/148881/
274,Rushing Rapids Red (Insider Beer),Bosque Brewing Co.,9.60,/beer/profile/30492/248983/
275,Lager,Yokohama Beer,5.00,/beer/profile/9672/82843/
276,Plucker's Amber Lager,Great Lakes Brewery,5.00,/beer/profile/9408/105887/
277,Mixed Forecast - Still Raining Dark Lager,Moody Ales,5.50,/beer/profile/37115/338876/
278,Cheer,Old Forge Brewing Company,7.00,/beer/profile/18724/183229/
279,Gon-Ta-Nort,Turks Head Brewery,6.00,/beer/profile/7403/326080/
280,LagerShed Darker,Shawn & Ed Brewery Co,5.50,/beer/profile/47359/258756/
281,Imperial Red,Green Bench Brewing Co.,9.00,/beer/profile/32908/155077/
282,Saddle Rock Red Lager,Roslyn Brewing, ? ,/beer/profile/1604/36809/
283,Basica,Goose Island Beer Co.,6.70,/beer/profile/1146/226250/
284,Castana Urbana Mexican Lager,Urban Chestnut Brewing Company - Midtown Brewery & Biergarten,5.10,/beer/profile/24764/375513/
285,Fall Guy,Legal Draft Beer Company,5.20,/beer/profile/46377/439776/
286,Cool Ridge Lager,Weathered Ground Brewery,5.50,/beer/profile/49767/298723/
287,Lost Lake Naturally Brewed Amber Lager,Melanie Brewing Company,5.60,/beer/profile/1422/206827/
288,Varsity Hall Red Ale,Snake Lake Brewing Company,5.50,/beer/profile/51891/328947/
289,Vienna Horizon Lager,The Knuckle Saloon & Grill,4.80,/beer/profile/35986/172293/
290,Kellager,Artifex Brewing Company,4.10,/beer/profile/36428/138507/
291,Zenata,Bauhaus Brew Labs,4.30,/beer/profile/35769/512272/
292,Exklusiv,By All Means Brew Lab,4.90,/beer/profile/57937/450329/
293,Backyard Brewery The Leaky Bucket,Carlsberg Sverige AB,3.50,/beer/profile/10897/168480/
294,High Country Lager,Blowing Rock Brewing Co., ? ,/beer/profile/18080/65572/
295,Wagner Kupferstich Rotbier,Brauerei Richard Wagner,4.90,/beer/profile/5959/191270/
296,Tiger Black Strong,Asia Pacific Breweries Limited,6.90,/beer/profile/727/403498/
297,Detour,True North Ale Company,4.80,/beer/profile/50989/323884/
298,Hammerhead Amber (a.k.a. Manta Dark),Stone Money Brewing Company, ? ,/beer/profile/30613/90417/
299,Rope Swing Amber Lager,Walnut River Brewing Company,4.30,/beer/profile/33650/274738/
300,1554,New Belgium Brewing Company,6.00,/beer/profile/192/1914/
301,Guinness Black Lager,Guinness Ltd.,4.50,/beer/profile/209/57285/
302,Creamy Dark,Jacob Leinenkugel Brewing Company,4.90,/beer/profile/710/2940/
303,Blackened Voodoo,Dixie Beer,5.50,/beer/profile/404/1186/
304,Heineken Dark Lager,Heineken Nederland B.V.,5.00,/beer/profile/81/1167/
305,Baltika #4 Original (Dark),Baltika Breweries,5.60,/beer/profile/401/2235/
306,St. Pauli Girl Special Dark,St. Pauli Brauerei C.L. Wilh. Brandt Gmbh & Co.,4.80,/beer/profile/224/698/
307,Fischer Tradition Amber,Brasserie Fischer / Fischer Biere d' Alsace,6.00,/beer/profile/197/710/
308,Death & Taxes,Moonlight Brewing Company,5.00,/beer/profile/763/2306/
309,San Miguel Dark Lager,San Miguel Brewery Inc.,5.00,/beer/profile/355/7102/
310,Budweiser Budvar Czech Dark Lager,"Budějovický Budvar, n.p.",4.70,/beer/profile/304/35967/
311,Dark Lager,Waterloo Brewing,5.00,/beer/profile/416/5196/
312,Efes Dark,Anadolu Efes Brewery,6.50,/beer/profile/569/12362/
313,Beerlao Dark,Lao Brewery Co.,6.50,/beer/profile/2970/27607/
314,Black Licorice Lager,Short's Brewing Company,8.00,/beer/profile/9629/37147/
315,LTD Series - 06,Full Sail Brewing Company,7.00,/beer/profile/5316/86044/
316,Bernard Cerne (Dark),Bernard Family Brewery,5.10,/beer/profile/2055/64327/
317,El Steinber Dark Lager,Anderson Valley Brewing Company,5.00,/beer/profile/193/83646/
318,Alhambra Negra,"Grupo Cervezas Alhambra, SL",5.40,/beer/profile/9262/22584/
